Source,Target,weight
0,1,1.867604561
0,2,0.267192261
0,3,1.178319034
0,4,2.417068532
0,5,0.571327218
0,6,5.828576068
0,7,7.522354422
0,8,4.972577095
0,10,2.481683294
0,11,1.962088672
0,12,2.109361775
0,13,4.704186515
0,17,1.096939905
0,19,3.145117779
0,21,3.941777471
0,31,9.82266975
1,2,1.730934313
1,3,0.442019878
1,7,6.294265222
1,13,1.757195691
1,17,0.232169948
1,19,8.387304443
1,21,1.427066844
1,30,9.358674917
2,3,3.855824517
2,7,0.937421398
2,8,7.499406598
2,9,3.854797001
2,13,5.756723654
2,27,3.37338071
2,28,5.636443843
2,32,0.641884299
3,7,2.747095778
3,12,2.523500598
3,13,7.767348425
4,6,3.611939703
4,10,1.689429256
5,6,4.310323665
5,10,6.613407698
5,16,0.907577051
6,16,0.922333391
8,30,3.501552256
8,32,1.898560054
8,33,7.940766329
9,33,5.979162726
13,33,7.368654433
14,32,6.178859284
14,33,7.830710146
15,32,7.423472732
15,33,3.023467409
18,32,1.49157767
18,33,6.663128884
19,33,9.962700487
20,32,7.206588277
20,33,6.105557515
22,32,1.367655078
22,33,0.569194795
23,25,4.514252814
23,27,3.011876037
23,29,0.751099365
23,32,5.224722209
23,33,4.206036336
24,25,5.547331283
24,27,1.36446367
24,31,0.143433839
25,31,1.47602685
26,29,2.191000057
26,33,6.547164961
27,33,4.53749169
28,31,4.02586585
28,33,7.466717685
29,32,5.475486549
29,33,2.796892755
30,32,1.224946905
30,33,4.722138396
31,32,9.011067251
31,33,6.668239044
32,33,6.50945215
